DetID,m_adc_i,cut_point_tot,high_slope,high_offset,low_slope,low_power,low_offset,tot_not,channel,flagged
0x18801306,1672.939857,869.0,8.310992353,627.1818794,76.88517587,0.271152844,389.17452,1145.653393,23,0
0x18801305,1794.384521,1050.333333,8.798537674,621.3588358,10.56524785,0.490790032,557.2578442,1139.451694,24,0
0x18801304,1735.000198,1047.666667,8.424190195,611.4626633,7.774024333,0.532059307,562.3889463,1101.742069,25,0
0x1888130b,1808.542377,963.0,8.857006604,627.8184233,8.940733969,0.516040712,565.6067428,1148.442071,27,0
0x1888130a,1672.715277,927.3333333,8.192692431,599.7889133,185.2014315,0.187674451,179.717581,1187.154129,28,0
0x18881309,1808.645395,1043.333333,8.85288542,612.7822988,6.645426078,0.545131729,574.6033102,1238.586507,29,0
0x18881308,1668.482675,1006.666667,8.219919748,623.1664644,5.491851153,0.579330312,590.4416466,1101.051922,30,0
0x1880130b,1750.972078,957.0,8.659397411,626.2584779,70.40938195,0.284357043,370.2510815,1111.884369,31,0
0x1880130a,1714.919432,1205.666667,8.465091293,602.17596,8.657508324,0.516556229,558.1266658,1259.81264,32,0
0x18801309,1761.958127,1238.666667,8.707988823,635.7724484,8.448995665,0.512620949,601.0475947,1162.737504,33,0
0x18801308,1799.598363,956.0,8.908965541,622.9188311,77.34152208,0.264503316,395.8728805,1232.390969,34,0
0x18880202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880a01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880b06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880c09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880e01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18880f06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18881009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18881201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0x18881306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
